track_name,popularity,album
FE!N (feat. Playboi Carti),85,UTOPIA
goosebumps,85,Birds In The Trap Sing McKnight
SICKO MODE,83,ASTROWORLD
90210 (feat. Kacy Hill),83,Rodeo
BUTTERFLY EFFECT,82,ASTROWORLD
I KNOW ?,81,UTOPIA
MY EYES,81,UTOPIA
sdp interlude,80,Birds In The Trap Sing McKnight
Nightcrawler (feat. Swae Lee & Chief Keef),78,Rodeo
ASTROTHUNDER,78,ASTROWORLD
CAN'T SAY,77,ASTROWORLD
TELEKINESIS (feat. SZA & Future),77,UTOPIA
SKELETONS,77,ASTROWORLD
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),76,UTOPIA
YOSEMITE,76,ASTROWORLD
OUT WEST (feat. Young Thug),76,JACKBOYS
STARGAZING,75,ASTROWORLD
KICK OUT,74,JACKBOYS 2
MELTDOWN (feat. Drake),74,UTOPIA
5% TINT,74,ASTROWORLD
DUMBO,74,JACKBOYS 2
TOPIA TWINS (feat. Rob49 & 21 Savage),73,UTOPIA
CHAMPAIN & VACAY,72,JACKBOYS 2
Antidote,72,Rodeo
Maria I'm Drunk (feat. Justin Bieber & Young Thug),72,Rodeo
Drugs You Should Try It,71,DAYS BEFORE RODEO
NO BYSTANDERS,71,ASTROWORLD
THANK GOD,70,UTOPIA
GATTI,70,JACKBOYS
WHERE WAS YOU,70,JACKBOYS 2
WHO? WHAT!,69,ASTROWORLD
Apple Pie,69,Rodeo
COFFEE BEAN,69,ASTROWORLD
WHAT TO DO? (feat. Don Toliver),69,JACKBOYS
HOUSTONFORNICATION,68,ASTROWORLD
3500 (feat. Future & 2 Chainz),68,Rodeo
HYAENA,68,UTOPIA
STOP TRYING TO BE GOD,67,ASTROWORLD
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),67,UTOPIA
MODERN JAM (feat. Teezo Touchdown),67,UTOPIA
2000 EXCURSION,67,JACKBOYS 2
pick up the phone (feat. Quavo),67,Birds In The Trap Sing McKnight
SHYNE,67,JACKBOYS 2
SKITZO (feat. Young Thug),67,UTOPIA
beibs in the trap,67,Birds In The Trap Sing McKnight
Impossible,67,Rodeo
SIRENS,66,UTOPIA
WAKE UP,66,ASTROWORLD
way back,66,Birds In The Trap Sing McKnight
through the late night,65,Birds In The Trap Sing McKnight
R.I.P. SCREW,65,ASTROWORLD
CAROUSEL,65,ASTROWORLD
GANG GANG,65,JACKBOYS
Pray 4 Love (feat. The Weeknd),65,Rodeo
NO COMMENTS,65,JACKBOYS 2
coordinate,65,Birds In The Trap Sing McKnight
the ends,64,Birds In The Trap Sing McKnight
Mamacita (feat. Rich Homie Quan & Young Thug),64,DAYS BEFORE RODEO
sweet sweet,64,Birds In The Trap Sing McKnight
NC-17,64,ASTROWORLD
Oh My Dis Side (feat. Quavo),64,Rodeo
wonderful,64,Birds In The Trap Sing McKnight
MM3,64,JACKBOYS 2
LOOOVE (feat. Kid Cudi),63,UTOPIA
CONTEST,63,JACKBOYS 2
GOD'S COUNTRY,63,UTOPIA
PBT,63,JACKBOYS 2
OUTSIDE,62,JACKBOYS 2
FLORIDA FLOW,62,JACKBOYS 2
BEEP BEEP,62,JACKBOYS 2
LOST FOREVER (feat. Westside Gunn),62,UTOPIA
Pornography,62,Rodeo
VELOUR,61,JACKBOYS 2
ILMB,61,JACKBOYS 2
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,61,JACKBOYS
HAD ENOUGH (feat. Quavo & Offset),61,JACKBOYS
K-POP (feat. Bad Bunny & The Weeknd),61,UTOPIA
Backyard,61,DAYS BEFORE RODEO
CANT STOP,61,JACKBOYS 2
Black & Chinese,60,"Huncho Jack, Jack Huncho"
Don't Play (feat. The 1975 & Big Sean),60,DAYS BEFORE RODEO
DELRESTO (ECHOES) (feat. Beyoncé),60,UTOPIA
Skyfall (feat. Young Thug),60,DAYS BEFORE RODEO
lose,59,Birds In The Trap Sing McKnight
Never Catch Me,59,Rodeo
PARASAIL (feat. Yung Lean & Dave Chappelle),59,UTOPIA
I Can Tell,59,Rodeo
Dubai Shit,59,"Huncho Jack, Jack Huncho"
Quintana Pt. 2,59,DAYS BEFORE RODEO
Where U From,58,"Huncho Jack, Jack Huncho"
Motorcycle Patches,58,"Huncho Jack, Jack Huncho"
Days Before Rodeo: The Prayer,58,DAYS BEFORE RODEO
first take,58,Birds In The Trap Sing McKnight
Saint,58,"Huncho Jack, Jack Huncho"
outside,58,Birds In The Trap Sing McKnight
Saint Laurent Mask,57,"Huncho Jack, Jack Huncho"
Ok Alright (feat. ScHoolboy Q),57,Rodeo
Piss On Your Grave (feat. Kanye West),56,Rodeo
Modern Slavery,56,"Huncho Jack, Jack Huncho"
How U Feel,56,"Huncho Jack, Jack Huncho"
